candidate,law,return_low,return_high,threshold_scale,coupling,coupling_domain,corner,seed,dt,dynamic_noise,return_rate,settling_time_p95,residual_p95,reexit_rate,attempted_violations,max_abs
konstant_lo1.2_hi1.2_s1_k0_abweichung,konstant,1.2,1.2,1.0,0.0,abweichung,nominal,37,0.02,1,1.0,3.543,0.00514101987388967,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0_abweichung,konstant,1.2,1.2,1.0,0.0,abweichung,nominal,53,0.02,1,1.0,3.44,0.005260747439145113,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0_abweichung,konstant,1.2,1.2,1.0,0.0,abweichung,nominal,71,0.02,1,1.0,3.52,0.005024945549342217,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0_abweichung,konstant,1.2,1.2,1.0,0.0,abweichung,erhoeht,11,0.02,1,1.0,3.572,0.008833933351008301,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0_abweichung,konstant,1.2,1.2,1.0,0.0,abweichung,erhoeht,23,0.02,1,1.0,4.046,0.01256189603340451,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0_abweichung,konstant,1.2,1.2,1.0,0.0,abweichung,erhoeht,37,0.02,1,1.0,3.64,0.009168276381051606,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0_abweichung,konstant,1.2,1.2,1.0,0.0,abweichung,erhoeht,53,0.02,1,1.0,4.026000000000001,0.012696940193899914,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0_abweichung,konstant,1.2,1.2,1.0,0.0,abweichung,erhoeht,71,0.02,1,1.0,4.08,0.011289020429270814,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0.34_absolut,konstant,1.2,1.2,1.0,0.34,absolut,nominal,11,0.02,1,1.0,3.34,0.014724619392847292,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0.34_absolut,konstant,1.2,1.2,1.0,0.34,absolut,nominal,23,0.02,1,1.0,3.4659999999999997,0.024492796355627185,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0.34_absolut,konstant,1.2,1.2,1.0,0.34,absolut,nominal,37,0.02,1,1.0,3.4659999999999997,0.019193641968364917,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0.34_absolut,konstant,1.2,1.2,1.0,0.34,absolut,nominal,53,0.02,1,1.0,3.3459999999999996,0.015258380139102941,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0.34_absolut,konstant,1.2,1.2,1.0,0.34,absolut,nominal,71,0.02,1,1.0,3.563,0.024449635855638332,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0.34_absolut,konstant,1.2,1.2,1.0,0.34,absolut,erhoeht,11,0.02,1,1.0,3.469,0.02591512179687256,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0.34_absolut,konstant,1.2,1.2,1.0,0.34,absolut,erhoeht,23,0.02,1,1.0,3.9379999999999997,0.03960921250099525,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0.34_absolut,konstant,1.2,1.2,1.0,0.34,absolut,erhoeht,37,0.02,1,1.0,3.623,0.029489043756179417,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0.34_absolut,konstant,1.2,1.2,1.0,0.34,absolut,erhoeht,53,0.02,1,1.0,3.796,0.039813959503784815,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0.34_absolut,konstant,1.2,1.2,1.0,0.34,absolut,erhoeht,71,0.02,1,1.0,3.863,0.03537694393437594,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0.34_abweichung,konstant,1.2,1.2,1.0,0.34,abweichung,nominal,11,0.02,1,1.0,3.3000000000000003,0.003415276090502629,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0.34_abweichung,konstant,1.2,1.2,1.0,0.34,abweichung,nominal,23,0.02,1,1.0,3.383,0.002906851550827251,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0.34_abweichung,konstant,1.2,1.2,1.0,0.34,abweichung,nominal,37,0.02,1,1.0,3.423,0.0035515146988606182,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0.34_abweichung,konstant,1.2,1.2,1.0,0.34,abweichung,nominal,53,0.02,1,1.0,3.3200000000000003,0.0033896009792002686,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0.34_abweichung,konstant,1.2,1.2,1.0,0.34,abweichung,nominal,71,0.02,1,1.0,3.463,0.003614430624031201,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0.34_abweichung,konstant,1.2,1.2,1.0,0.34,abweichung,erhoeht,11,0.02,1,1.0,3.383,0.006222055520915472,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0.34_abweichung,konstant,1.2,1.2,1.0,0.34,abweichung,erhoeht,23,0.02,1,1.0,3.592,0.00683735513728903,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0.34_abweichung,konstant,1.2,1.2,1.0,0.34,abweichung,erhoeht,37,0.02,1,1.0,3.472,0.006356388720249999,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0.34_abweichung,konstant,1.2,1.2,1.0,0.34,abweichung,erhoeht,53,0.02,1,1.0,3.423,0.006221866050258858,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0.34_abweichung,konstant,1.2,1.2,1.0,0.34,abweichung,erhoeht,71,0.02,1,1.0,3.626,0.005796985185204833,0.0,0,3.0
konstant_lo1.6_hi1.6_s1_k0_abweichung,konstant,1.6,1.6,1.0,0.0,abweichung,nominal,11,0.02,1,1.0,2.543,0.0035952087854836,0.0,0,3.0
konstant_lo1.6_hi1.6_s1_k0_abweichung,konstant,1.6,1.6,1.0,0.0,abweichung,nominal,23,0.02,1,1.0,2.58,0.0029731105817257563,0.0,0,3.0
konstant_lo1.6_hi1.6_s1_k0_abweichung,konstant,1.6,1.6,1.0,0.0,abweichung,nominal,37,0.02,1,1.0,2.64,0.003591882014132224,0.0,0,3.0
konstant_lo1.6_hi1.6_s1_k0_abweichung,konstant,1.6,1.6,1.0,0.0,abweichung,nominal,53,0.02,1,1.0,2.563,0.0034380212986322672,0.0,0,3.0
konstant_lo1.6_hi1.6_s1_k0_abweichung,konstant,1.6,1.6,1.0,0.0,abweichung,nominal,71,0.02,1,1.0,2.62,0.003500709897141645,0.0,0,3.0
konstant_lo1.6_hi1.6_s1_k0_abweichung,konstant,1.6,1.6,1.0,0.0,abweichung,erhoeht,11,0.02,1,1.0,2.68,0.006683134531976591,0.0,0,3.0
konstant_lo1.6_hi1.6_s1_k0_abweichung,konstant,1.6,1.6,1.0,0.0,abweichung,erhoeht,23,0.02,1,1.0,3.023,0.007403781257835973,0.0,0,3.0
konstant_lo1.6_hi1.6_s1_k0_abweichung,konstant,1.6,1.6,1.0,0.0,abweichung,erhoeht,37,0.02,1,1.0,2.72,0.007098629132422664,0.0,0,3.0
konstant_lo1.6_hi1.6_s1_k0_abweichung,konstant,1.6,1.6,1.0,0.0,abweichung,erhoeht,53,0.02,1,1.0,3.06,0.007026177268803337,0.0,0,3.0
konstant_lo1.6_hi1.6_s1_k0_abweichung,konstant,1.6,1.6,1.0,0.0,abweichung,erhoeht,71,0.02,1,1.0,3.08,0.00645699513188971,0.0,0,3.0
