model,family,corner,seed,dt,dynamic_noise,return_rate,settling_time_p95,residual_p95,reexit_rate,attempted_violations
anisotrop_horizontal_d0.68_t0.17,anisotrop,erhoeht,101,0.02,0,1.0,2.68,0.00038013504566877196,0.0,0
anisotrop_horizontal_d0.68_t0.17,anisotrop,erhoeht,101,0.01,0,1.0,2.7,0.00040551447505991013,0.0,0
anisotrop_horizontal_d0.68_t0.17,anisotrop,erhoeht,131,0.02,1,1.0,2.6630000000000003,0.005933327997068426,0.0,0
anisotrop_horizontal_d0.68_t0.17,anisotrop,erhoeht,131,0.02,0,1.0,2.64,0.0003499070369041945,0.0,0
anisotrop_horizontal_d0.68_t0.17,anisotrop,erhoeht,131,0.01,0,1.0,2.67,0.00037352917079666164,0.0,0
anisotrop_horizontal_d0.68_t0.17,anisotrop,erhoeht,167,0.02,1,1.0,2.72,0.005452951356631244,0.0,0
anisotrop_horizontal_d0.68_t0.17,anisotrop,erhoeht,167,0.02,0,1.0,2.7030000000000003,0.00038406640809723067,0.0,0
anisotrop_horizontal_d0.68_t0.17,anisotrop,erhoeht,167,0.01,0,1.0,2.7315,0.00041030074040924856,0.0,0
anisotrop_vertikal_d0.34_t0,anisotrop,nominal,101,0.02,1,1.0,2.563,0.0034514122316237337,0.0,0
anisotrop_vertikal_d0.34_t0,anisotrop,nominal,101,0.02,0,1.0,2.56,0.0002358089819660255,0.0,0
anisotrop_vertikal_d0.34_t0,anisotrop,nominal,101,0.01,0,1.0,2.59,0.00025368329480749324,0.0,0
anisotrop_vertikal_d0.34_t0,anisotrop,nominal,131,0.02,1,1.0,2.563,0.0031844583422457893,0.0,0
anisotrop_vertikal_d0.34_t0,anisotrop,nominal,131,0.02,0,1.0,2.56,0.00023340732536610015,0.0,0
anisotrop_vertikal_d0.34_t0,anisotrop,nominal,131,0.01,0,1.0,2.59,0.00025117442803694563,0.0,0
anisotrop_vertikal_d0.34_t0,anisotrop,nominal,167,0.02,1,1.0,2.52,0.0031668447125224475,0.0,0
anisotrop_vertikal_d0.34_t0,anisotrop,nominal,167,0.02,0,1.0,2.52,0.00021602105823678727,0.0,0
anisotrop_vertikal_d0.34_t0,anisotrop,nominal,167,0.01,0,1.0,2.54,0.0002322511182123598,0.0,0
anisotrop_vertikal_d0.34_t0,anisotrop,erhoeht,101,0.02,1,1.0,2.7,0.006265806680771732,0.0,0
anisotrop_vertikal_d0.34_t0,anisotrop,erhoeht,101,0.02,0,1.0,2.72,0.0005177880573757159,0.0,0
anisotrop_vertikal_d0.34_t0,anisotrop,erhoeht,101,0.01,0,1.0,2.75,0.0005481095142639687,0.0,0
anisotrop_vertikal_d0.34_t0,anisotrop,erhoeht,131,0.02,1,1.0,2.7230000000000003,0.0066758942499097265,0.0,0
anisotrop_vertikal_d0.34_t0,anisotrop,erhoeht,131,0.02,0,1.0,2.72,0.0005382542844493132,0.0,0
anisotrop_vertikal_d0.34_t0,anisotrop,erhoeht,131,0.01,0,1.0,2.7415000000000003,0.0005688106165623363,0.0,0
anisotrop_vertikal_d0.34_t0,anisotrop,erhoeht,167,0.02,1,1.0,2.8000000000000003,0.006660901677797973,0.0,0
anisotrop_vertikal_d0.34_t0,anisotrop,erhoeht,167,0.02,0,1.0,2.8000000000000003,0.000578209179242394,0.0,0
anisotrop_vertikal_d0.34_t0,anisotrop,erhoeht,167,0.01,0,1.0,2.82,0.0006123870468651132,0.0,0
anisotrop_vertikal_d0.34_t0.17,anisotrop,nominal,101,0.02,1,1.0,2.56,0.003316664402301079,0.0,0
anisotrop_vertikal_d0.34_t0.17,anisotrop,nominal,101,0.02,0,1.0,2.56,0.00021676478101851368,0.0,0
anisotrop_vertikal_d0.34_t0.17,anisotrop,nominal,101,0.01,0,1.0,2.5815,0.00023378997773608842,0.0,0
anisotrop_vertikal_d0.34_t0.17,anisotrop,nominal,131,0.02,1,1.0,2.56,0.0029957697460519387,0.0,0
anisotrop_vertikal_d0.34_t0.17,anisotrop,nominal,131,0.02,0,1.0,2.56,0.00021731585316421776,0.0,0
anisotrop_vertikal_d0.34_t0.17,anisotrop,nominal,131,0.01,0,1.0,2.59,0.00023438108170843717,0.0,0
anisotrop_vertikal_d0.34_t0.17,anisotrop,nominal,167,0.02,1,1.0,2.5,0.002843686995171934,0.0,0
anisotrop_vertikal_d0.34_t0.17,anisotrop,nominal,167,0.02,0,1.0,2.5,0.00018671513759783667,0.0,0
anisotrop_vertikal_d0.34_t0.17,anisotrop,nominal,167,0.01,0,1.0,2.5300000000000002,0.00020160490578778834,0.0,0
anisotrop_vertikal_d0.34_t0.17,anisotrop,erhoeht,101,0.02,1,1.0,2.66,0.005873362703024743,0.0,0
anisotrop_vertikal_d0.34_t0.17,anisotrop,erhoeht,101,0.02,0,1.0,2.68,0.000385933790792392,0.0,0
anisotrop_vertikal_d0.34_t0.17,anisotrop,erhoeht,101,0.01,0,1.0,2.71,0.0004117630385617001,0.0,0
anisotrop_vertikal_d0.34_t0.17,anisotrop,erhoeht,131,0.02,1,1.0,2.6830000000000003,0.006447204750296419,0.0,0
anisotrop_vertikal_d0.34_t0.17,anisotrop,erhoeht,131,0.02,0,1.0,2.6630000000000003,0.0003717970456885886,0.0,0
anisotrop_vertikal_d0.34_t0.17,anisotrop,erhoeht,131,0.01,0,1.0,2.6915,0.0003967844459312322,0.0,0
anisotrop_vertikal_d0.34_t0.17,anisotrop,erhoeht,167,0.02,1,1.0,2.7600000000000002,0.006178047368886672,0.0,0
anisotrop_vertikal_d0.34_t0.17,anisotrop,erhoeht,167,0.02,0,1.0,2.74,0.00042918622931995606,0.0,0
anisotrop_vertikal_d0.34_t0.17,anisotrop,erhoeht,167,0.01,0,1.0,2.77,0.00045773060895156484,0.0,0
anisotrop_vertikal_d0.68_t0,anisotrop,nominal,101,0.02,1,1.0,2.56,0.003303766292254389,0.0,0
anisotrop_vertikal_d0.68_t0,anisotrop,nominal,101,0.02,0,1.0,2.56,0.00022418005898008824,0.0,0
anisotrop_vertikal_d0.68_t0,anisotrop,nominal,101,0.01,0,1.0,2.5815,0.00024146409512754816,0.0,0
anisotrop_vertikal_d0.68_t0,anisotrop,nominal,131,0.02,1,1.0,2.56,0.0029500217884354776,0.0,0
anisotrop_vertikal_d0.68_t0,anisotrop,nominal,131,0.02,0,1.0,2.56,0.00022390283852091075,0.0,0
anisotrop_vertikal_d0.68_t0,anisotrop,nominal,131,0.01,0,1.0,2.59,0.0002411840482989568,0.0,0
anisotrop_vertikal_d0.68_t0,anisotrop,nominal,167,0.02,1,1.0,2.5,0.0029021836911566645,0.0,0
anisotrop_vertikal_d0.68_t0,anisotrop,nominal,167,0.02,0,1.0,2.503,0.0002022169627016108,0.0,0
anisotrop_vertikal_d0.68_t0,anisotrop,nominal,167,0.01,0,1.0,2.5315000000000003,0.0002177453042367026,0.0,0
anisotrop_vertikal_d0.68_t0,anisotrop,erhoeht,101,0.02,1,1.0,2.66,0.005976532109087775,0.0,0
anisotrop_vertikal_d0.68_t0,anisotrop,erhoeht,101,0.02,0,1.0,2.68,0.00042438524000154137,0.0,0
anisotrop_vertikal_d0.68_t0,anisotrop,erhoeht,101,0.01,0,1.0,2.71,0.0004510819488924591,0.0,0
anisotrop_vertikal_d0.68_t0,anisotrop,erhoeht,131,0.02,1,1.0,2.6830000000000003,0.006286045698180962,0.0,0
anisotrop_vertikal_d0.68_t0,anisotrop,erhoeht,131,0.02,0,1.0,2.68,0.0004241293272537572,0.0,0
anisotrop_vertikal_d0.68_t0,anisotrop,erhoeht,131,0.01,0,1.0,2.7015000000000002,0.0004506026308696054,0.0,0
anisotrop_vertikal_d0.68_t0,anisotrop,erhoeht,167,0.02,1,1.0,2.74,0.0062993418875130205,0.0,0
anisotrop_vertikal_d0.68_t0,anisotrop,erhoeht,167,0.02,0,1.0,2.72,0.00040328070077610853,0.0,0
anisotrop_vertikal_d0.68_t0,anisotrop,erhoeht,167,0.01,0,1.0,2.7415000000000003,0.00043033592013179265,0.0,0
anisotrop_vertikal_d0.68_t0.17,anisotrop,nominal,101,0.02,1,1.0,2.543,0.0031719045534620636,0.0,0
anisotrop_vertikal_d0.68_t0.17,anisotrop,nominal,101,0.02,0,1.0,2.56,0.00021122242118079394,0.0,0
anisotrop_vertikal_d0.68_t0.17,anisotrop,nominal,101,0.01,0,1.0,2.58,0.0002279228142704217,0.0,0
anisotrop_vertikal_d0.68_t0.17,anisotrop,nominal,131,0.02,1,1.0,2.56,0.002720948057158456,0.0,0
anisotrop_vertikal_d0.68_t0.17,anisotrop,nominal,131,0.02,0,1.0,2.56,0.00021189747932863913,0.0,0
anisotrop_vertikal_d0.68_t0.17,anisotrop,nominal,131,0.01,0,1.0,2.58,0.00022865589630249303,0.0,0
anisotrop_vertikal_d0.68_t0.17,anisotrop,nominal,167,0.02,1,1.0,2.5,0.0027013698895749258,0.0,0
anisotrop_vertikal_d0.68_t0.17,anisotrop,nominal,167,0.02,0,1.0,2.5,0.00018115689559720027,0.0,0
anisotrop_vertikal_d0.68_t0.17,anisotrop,nominal,167,0.01,0,1.0,2.52,0.0001957279052545885,0.0,0
anisotrop_vertikal_d0.68_t0.17,anisotrop,erhoeht,101,0.02,1,1.0,2.64,0.005636548502017391,0.0,0
anisotrop_vertikal_d0.68_t0.17,anisotrop,erhoeht,101,0.02,0,1.0,2.66,0.00033391027427517704,0.0,0
anisotrop_vertikal_d0.68_t0.17,anisotrop,erhoeht,101,0.01,0,1.0,2.68,0.00035734866901092024,0.0,0
anisotrop_vertikal_d0.68_t0.17,anisotrop,erhoeht,131,0.02,1,1.0,2.66,0.006066515168937642,0.0,0
anisotrop_vertikal_d0.68_t0.17,anisotrop,erhoeht,131,0.02,0,1.0,2.64,0.00031469071290185686,0.0,0
anisotrop_vertikal_d0.68_t0.17,anisotrop,erhoeht,131,0.01,0,1.0,2.67,0.0003370799761936865,0.0,0
anisotrop_vertikal_d0.68_t0.17,anisotrop,erhoeht,167,0.02,1,1.0,2.7030000000000003,0.005860543019751564,0.0,0
anisotrop_vertikal_d0.68_t0.17,anisotrop,erhoeht,167,0.02,0,1.0,2.7,0.00035911865502443775,0.0,0
anisotrop_vertikal_d0.68_t0.17,anisotrop,erhoeht,167,0.01,0,1.0,2.72,0.00038423485561317163,0.0,0
gerichtet_oben_d0.34_g0,gerichtet,nominal,101,0.02,1,1.0,2.56,0.0034484810258565654,0.0,0
gerichtet_oben_d0.34_g0,gerichtet,nominal,101,0.02,0,1.0,2.56,0.00020982347707013512,0.0,0
gerichtet_oben_d0.34_g0,gerichtet,nominal,101,0.01,0,1.0,2.58,0.00022658377289300858,0.0,0
gerichtet_oben_d0.34_g0,gerichtet,nominal,131,0.02,1,1.0,2.58,0.0031352927865161834,0.0,0
gerichtet_oben_d0.34_g0,gerichtet,nominal,131,0.02,0,1.0,2.56,0.00022349756785241702,0.0,0
gerichtet_oben_d0.34_g0,gerichtet,nominal,131,0.01,0,1.0,2.5915,0.00024102361491670597,0.0,0
gerichtet_oben_d0.34_g0,gerichtet,nominal,167,0.02,1,1.0,2.5,0.002996434507892882,0.0,0
gerichtet_oben_d0.34_g0,gerichtet,nominal,167,0.02,0,1.0,2.5,0.00018293830470932087,0.0,0
gerichtet_oben_d0.34_g0,gerichtet,nominal,167,0.01,0,1.0,2.5300000000000002,0.000197713631744843,0.0,0
gerichtet_oben_d0.34_g0,gerichtet,erhoeht,101,0.02,1,1.0,2.74,0.006202052903995742,0.0,0
gerichtet_oben_d0.34_g0,gerichtet,erhoeht,101,0.02,0,1.0,2.7600000000000002,0.0005273868600340088,0.0,0
gerichtet_oben_d0.34_g0,gerichtet,erhoeht,101,0.01,0,1.0,2.7800000000000002,0.0005595726207650135,0.0,0
gerichtet_oben_d0.34_g0,gerichtet,erhoeht,131,0.02,1,1.0,2.64,0.0065606139298596084,0.0,0
gerichtet_oben_d0.34_g0,gerichtet,erhoeht,131,0.02,0,1.0,2.62,0.00027750593109801016,0.0,0
gerichtet_oben_d0.34_g0,gerichtet,erhoeht,131,0.01,0,1.0,2.65,0.00029827064593035695,0.0,0
gerichtet_oben_d0.34_g0,gerichtet,erhoeht,167,0.02,1,1.0,2.7800000000000002,0.006555011041658985,0.0,0
gerichtet_oben_d0.34_g0,gerichtet,erhoeht,167,0.02,0,1.0,2.7600000000000002,0.00045311708711149223,0.0,0
gerichtet_oben_d0.34_g0,gerichtet,erhoeht,167,0.01,0,1.0,2.79,0.0004832562897835605,0.0,0
gerichtet_oben_d0.34_g0.17,gerichtet,nominal,101,0.02,1,1.0,2.56,0.003372366608518915,0.0,0
gerichtet_oben_d0.34_g0.17,gerichtet,nominal,101,0.02,0,1.0,2.56,0.00021415212867214735,0.0,0
gerichtet_oben_d0.34_g0.17,gerichtet,nominal,101,0.01,0,1.0,2.5815,0.00023106800484157654,0.0,0
gerichtet_oben_d0.34_g0.17,gerichtet,nominal,131,0.02,1,1.0,2.563,0.003062614054437056,0.0,0
gerichtet_oben_d0.34_g0.17,gerichtet,nominal,131,0.02,0,1.0,2.56,0.00022372419271090045,0.0,0
gerichtet_oben_d0.34_g0.17,gerichtet,nominal,131,0.01,0,1.0,2.59,0.00024114218203919304,0.0,0
gerichtet_oben_d0.34_g0.17,gerichtet,nominal,167,0.02,1,1.0,2.5,0.0029163836753502734,0.0,0
gerichtet_oben_d0.34_g0.17,gerichtet,nominal,167,0.02,0,1.0,2.5,0.00018715195923998176,0.0,0
gerichtet_oben_d0.34_g0.17,gerichtet,nominal,167,0.01,0,1.0,2.5300000000000002,0.00020206101722627226,0.0,0
gerichtet_oben_d0.34_g0.17,gerichtet,erhoeht,101,0.02,1,1.0,2.7,0.0060210970492377,0.0,0
gerichtet_oben_d0.34_g0.17,gerichtet,erhoeht,101,0.02,0,1.0,2.72,0.00046221591296350555,0.0,0
gerichtet_oben_d0.34_g0.17,gerichtet,erhoeht,101,0.01,0,1.0,2.75,0.0004913554497385503,0.0,0
gerichtet_oben_d0.34_g0.17,gerichtet,erhoeht,131,0.02,1,1.0,2.6630000000000003,0.0065003940075591725,0.0,0
gerichtet_oben_d0.34_g0.17,gerichtet,erhoeht,131,0.02,0,1.0,2.6430000000000002,0.00032493869544758915,0.0,0
gerichtet_oben_d0.34_g0.17,gerichtet,erhoeht,131,0.01,0,1.0,2.6715,0.0003478442342273995,0.0,0
gerichtet_oben_d0.34_g0.17,gerichtet,erhoeht,167,0.02,1,1.0,2.7600000000000002,0.006356394197172166,0.0,0
gerichtet_oben_d0.34_g0.17,gerichtet,erhoeht,167,0.02,0,1.0,2.7430000000000003,0.0004431613570839598,0.0,0
gerichtet_oben_d0.34_g0.17,gerichtet,erhoeht,167,0.01,0,1.0,2.7715,0.0004724637090765399,0.0,0
gerichtet_oben_d0.68_g0,gerichtet,nominal,101,0.02,1,1.0,2.54,0.0033823683735452123,0.0,0
gerichtet_oben_d0.68_g0,gerichtet,nominal,101,0.02,0,1.0,2.54,0.00019369620415515888,0.0,0
gerichtet_oben_d0.68_g0,gerichtet,nominal,101,0.01,0,1.0,2.57,0.00020951074099912918,0.0,0
gerichtet_oben_d0.68_g0,gerichtet,nominal,131,0.02,1,1.0,2.563,0.0029402622075882,0.0,0
gerichtet_oben_d0.68_g0,gerichtet,nominal,131,0.02,0,1.0,2.56,0.0002116413678603882,0.0,0
gerichtet_oben_d0.68_g0,gerichtet,nominal,131,0.01,0,1.0,2.59,0.00022855791269488628,0.0,0
